ID,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Suggested_Crop
476,Clayey,9.3,36,29,70,7.0,7.0,Rice
477,Clayey,9.1,101,24,72,6.0,6.0,Gram
478,Silty,9.6,111,14,76,40.5,40.5,Maize
479,Silty,9.9,113,17,75,39.5,39.5,Wheat
480,Silty,9.4,109,13,77,38.5,38.5,Vegetables
481,Black,10.2,154,0,11,37.0,37.0,Cotton
482,Black,9.7,150,0,9,36.0,37.5,Wheat
483,Black,11.0,124,0,76,39.0,39.0,Linseed
484,Red,3.7,10,69,72,10.5,10.5,Groundnut
485,Red,4.4,14,0,74,36.0,36.0,Millet
486,Red,10.2,101,5,10,39.0,39.0,Pulses
487,Alluvial,8.9,101,0,70,7.0,7.0,Rice
488,Alluvial,3.4,30,117,72,36.0,36.0,Sugarcane
489,Alluvial,9.4,25,0,70,8.5,8.5,Wheat
490,Clayey,9.3,100,0,70,39.0,39.0,Soyabean
491,Clayey,9.4,35,28,71,6.5,6.5,Rice
492,Clayey,9.2,102,23,73,5.5,5.5,Gram
493,Silty,9.7,112,13,77,41.0,41.0,Maize
494,Silty,10.0,114,16,76,40.0,40.0,Wheat
495,Silty,9.5,110,12,78,39.0,39.0,Vegetables
496,Black,10.3,156,0,10,37.5,37.5,Cotton
497,Black,9.8,152,0,8,36.5,38.0,Wheat
498,Black,11.1,126,0,77,39.5,39.5,Linseed
499,Red,3.6,8,70,73,10.0,10.0,Groundnut
500,Red,4.3,12,0,75,36.5,36.5,Millet
