ID,Soil_Type,pH,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_%,Temperature_C,Suggested_Crop
460,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
461,Loamy,6.3,43,27,83,47.1,27.5,Potato
462,Clay,6.1,34,21,74,59.2,25.5,Rice
463,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
464,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
465,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
466,Loamy,6.8,49,33,92,41.5,30.1,Potato
467,Clay,5.4,29,25,67,66.1,25.1,Rice
468,Sandy,7.1,19,16,50,26.1,30.9,Watermelon
469,Alluvial,7.0,59,43,118,59.5,28.1,Wheat
470,Peaty,4.4,21,14,53,81.2,22.5,Boro Rice
471,Loamy,6.5,45,30,85,45.2,28.5,Potato
472,Clay,5.8,32,25,70,62.1,26.4,Rice
473,Sandy,7.2,15,12,45,22.5,32.1,Watermelon
474,Alluvial,6.8,55,40,110,55.8,29.2,Wheat
475,Peaty,4.8,25,18,60,78.2,24.5,Boro Rice
476,Loamy,6.2,42,28,82,48.5,27.8,Potato
477,Clay,6.0,35,22,75,58.4,25.9,Rice
478,Sandy,7.5,12,10,40,18.2,33.5,Watermelon
479,Alluvial,6.5,50,38,105,52.1,30.1,Wheat
480,Peaty,5.2,28,20,65,75.4,23.8,Boro Rice
481,Loamy,6.7,48,32,90,42.1,29.5,Potato
482,Clay,5.5,30,24,68,65.2,25.4,Rice
483,Sandy,7.0,18,15,48,25.4,31.2,Watermelon
484,Alluvial,6.9,58,42,115,58.9,28.5,Wheat
485,Peaty,4.5,22,15,55,80.1,22.9,Boro Rice
486,Loamy,6.4,44,29,84,46.2,28.1,Potato
487,Clay,5.9,33,26,72,60.5,26.7,Rice
488,Sandy,7.3,14,11,42,20.1,32.8,Watermelon
489,Alluvial,6.6,52,39,108,54.2,29.8,Wheat
490,Peaty,5.0,26,19,62,76.8,24.1,Boro Rice
491,Loamy,6.6,46,31,88,44.5,28.9,Potato
492,Clay,5.7,31,23,69,63.4,26.1,Rice
493,Sandy,7.4,16,13,46,21.8,31.9,Watermelon
494,Alluvial,6.7,54,41,112,56.5,28.9,Wheat
495,Peaty,4.9,24,17,58,79.1,23.5,Boro Rice
496,Loamy,6.3,43,27,83,47.1,27.5,Potato
497,Clay,6.1,34,21,74,59.2,25.5,Rice
498,Sandy,7.6,11,9,38,17.5,34.1,Watermelon
499,Alluvial,6.4,49,37,102,51.5,30.5,Wheat
500,Peaty,5.3,29,21,67,74.1,24.5,Boro Rice
